Number	Word	Sentence	PpW2	PpW3	PpW4	PpW5	PpKenlm	Mother tongue	Level
199176	los	Corro más_o_menos 4 km todos los días .	8057.978267525178	9023.968893124942	8134.846859865	6844.163155854771	12475.157113969392	Portugués	A1
466440	hermanos	A mi me gusta mucho tus dos hermanos y quiero a ver les muy rapido .	9143.035534120789	18455.96353546809	23427.38655035995	23476.947440843905	1379.0392635278754	Francés	A1
604684	tiempo	El es muy alto , tiene 181 cm . Mi padre le gusta jugar a el futbol cuando tiene tiempo libre .	2570.571388052739	7294.873796898663	12822.29863974712	16410.50316477213	9845.881853084498	Chino mandarín	A1
338002	2006	[...] llama Mohssine tiene 22 años es comercente tambien vive con mi y mi madre , mi padre esta muerto en 2006 y mi madre se llama Malika tiene 51 años es ama de casa adios hasta luego	14874.759659630017	41970.988171958175	73729.59876265367	95174.26754044024	2710.622771268473	Árabe	A1
216004	mi	Quiero hablar de mi mejor amiga .	3580.4898370387114	5488.391946316461	6332.9637051202035	5678.489316501663	2221.1572865329586	Ruso	A2
198776	los	Quiero saber todo sobre la disponibilidad en la fecha entre 15_julio_2012 y 17_de_julio de la misma año , tambien a los precios y los condiciones de la reserva .	2823.374873886641	9105.911487997568	19582.040596677864	28582.80717246616	1833.41982111617	Árabe	A2
629063	vida	¿ Qué tal la vida ¿ Quiero contar te sobre mis últimas vacaciones .	23639.794884706444	40551.64405897237	40955.234422044035	34732.787997034735	11630.606599153274	Ruso	A2
539024	pasteles	[...] aceite de olivas y las albóndigas fritas en la cocina española , las lasañas en la cocina italiana , los pasteles y postres de la cocina francés .	4873.739090086442	14430.795477166985	27381.46628021536	37358.335344824336	2694.053332715545	Árabe	A2
629511	vida	¿ Còmo es tu vida personal ?	28360.832511374414	31475.02322630857	24143.499867806466	16856.14898564612	6367.824408797051	Inglés	B1
568763	repuesta	Espero a vuestra repuesta rapidamente .	31655.39201086471	23841.402672994103	15045.886110259065	9688.650606798266	18730.43476076976	Ruso	B1
460510	haga	Espero que esta distancia que nos separó no lo haga más , porque valorizo mucho tu amistad y no espero menos de ti hacia mí .	9090.427734156274	27005.420350510987	44083.06112039949	51676.253647209676	1345.3947726779754	Francés	B1
600129	Te	Te escrito para pedir te un favor .	7604.713755654629	11763.024762882349	11168.064899883204	9039.857861645482	3090.179197545703	Francés	B1
482902	ley	Ahora , creo que es mejor que no se pueda fumar en lugares públicos , aunque , cuándo la ley fue votada en Francia , me puse nerviosa .	2741.651935342658	7585.422291176781	16187.718359738486	24820.700242540355	3644.813092702264	Francés	B2
428311	espero	Por ello , espero que podría entrar en este programa para avanzar más .	1664.0984200618618	4160.343157168859	7355.974614626542	8835.757534255756	2606.10996479528	Chino mandarín	B2
429067	esta	Las consiquencias son más peor si esta ley esta en afecto y no pienso que sea un buen idea para prohibir fumar en lugares públicos .	6982.34794593256	19321.499885787824	30795.683451468707	37308.390589223396	1421.1424853795654	Inglés	B2
34559	.	[...] mis notas a_través todo mi vida academica son altas , que demuestra que mis estudios son muy importantes para mi .	12556.962705552578	28413.29203962373	41705.48820192096	47600.06829747206	2750.237483137017	Inglés	B2
177634	la	Hemos que pagar mucho mas que con la compania	8211.229873576614	17415.42670646769	20712.023003104874	18716.0370830023	400.6754560060428	Francés	C1
77177	,	Por ello , estoy escribiendo les para pedir les providencias inmediatas para solucionar los problemas , pues , a el contrário , estaré bajando de la compañia y buscando la justicia para recibir una imndenización por [...]	11001.713450293366	27641.66811451708	49728.72432314842	66886.53526265947	5997.831438155967	Portugués	C1
181497	la	Es uno de los más inteligentes de su clase y ama la Patria con todo su corazón .	971.7322570729672	2182.077166029187	3873.25723879958	5455.712364156652	354.14628554609436	Ruso	C1
7170	,	Dos son casadas y la joven estudia musica , el piano , en Marseille .	3206.549125918388	8835.99128311522	13548.456263872264	15451.062888436285	13409.374020399804	Francés	C1
