Number	Word	Sentence	PpW2	PpW3	PpW4	PpW5	PpKenlm	Mother tongue	Level
38290	.	No recuerdo quién fue director+(a) director+(a) .	4935.440738568947	7894.825367312525	9859.754360714267	10046.592114894771	33261.52358039001	Inglés	C1
634419	voy	Apenas para avisar que voy a llegar tarde hoy porque después de la clase voy con mis amigas a casa de Maria .	5390.592394726922	13624.724596063914	24718.45322230964	31443.724124161963	507.4703110514598	Portugués	A1
113485	de	Mis actividades preferidas son nadar , eskiar , leer , y el ayudo informatico de cualquier ser humano .	11320.07908370468	20287.227241105	27890.224590937392	29868.151412692274	41580.820144229736	Árabe	B2
143663	el	Viven en otros estados de el País .	645.4367940299712	1394.2225209700734	2168.8329398355772	2579.562930088638	4631.7012906015725	Portugués	A1
600711	teléfono	O también puedes llamar me por mi teléfono , 0987619777 .	14610.12271128817	23504.15703615581	22589.963576105107	18524.310656456848	15489.39833300631	Chino mandarín	B1
501566	menos	te hecho de menos te salodo ibrahim	32956.2393345797	36281.501084247306	26751.01717517024	18447.824971848888	2655.190164374636	Árabe	B1
453949	gustaría	Me gustaría saber	27694.30928257581	14619.256804569824	8138.489607522253	4916.534358841141	4796.604961405113	Ruso	B1
583724	Señores	Estimdos Señores	184295.21059817832	32707.77723559118	11085.199147340363	5329.540449310706	19890.86192087836	Árabe	C1
524284	Nosotros	Nosotros vamos en un restarante .	11660.747802065427	12643.149318483447	9749.12653999619	7020.93316563177	7407.031047224395	Ruso	A1
365176	buenos	buenos días .	1199.6137093633681	1244.5081609683925	1078.863511703689	890.2808370775972	1326.552776942012	Francés	B1
569768	respecto_a	Le escribo para expresar le mi indignación respecto_a mi factura de el mes pasado .	17709.525778522293	29005.760884655494	30604.498995086382	27164.377995289364	3393.681802533739	Francés	C1
122041	de	Esta decisión ha generado muchos debates sobre la legimidad de el gobierno brasileño de impedir que las personas puedan practicar algo que les gusta en lugares públicos .	4811.8236837223885	13158.6915127935	24446.469811060844	32905.41067792777	2363.047995438847	Portugués	B2
323738	y	Mis ojos son verdes y tengo el pelo corto y castaño .	5820.77338121567	11313.281044134386	14485.948275661936	14556.199447599072	1459.7154348202719	Árabe	A1
44578	.	Esto soltera .	5566.143841222866	3968.7918437280573	2594.993398100896	1804.2186049867312	30194.11429140291	Chino mandarín	A1
199075	los	También me gusta mucho el norte en este periodo porque los precios de muchos productos son bajos y aprovecho este oportunidad para comprar muchas cosas aue necesito .	7082.256594651972	19358.80824155954	34035.8046780294	42941.43835446954	1711.1442703368705	Árabe	A2
407240	día	Creo que la lengua española es muy bonita , interessante y compleja , y a cada día su impotancia en el mundo aumenta .	3044.441416821385	8234.874469661121	17245.334913062332	24508.23085999853	1876.6706481748315	Portugués	B2
297049	una	Ellos han siendo una segunda familia a mi .	2564.846232307972	7081.817926461368	9136.492565924913	8741.67891155654	2506.079403820155	Inglés	A2
336088	)	Después_de la elección , yo , como una persona de tres minorías ( soy mujer , negra y chicana ) , comenzé mejorar me en todos aspectos de mi vida para destruir los estereotipos de los mminorías que soy .	5949.7219318254065	19190.032205050502	38998.94870947855	55634.004908716444	5674.999093514023	Inglés	B2
316324	y	Yo gusto viajar de semana , mirar a el cine , y visitar museos .	3444.4187261092275	8563.108071824177	13268.928555262111	15166.540509161585	23138.31463189892	Inglés	A1
341115	abrazos	abrazos	67431.12099180876	11659.914400771999	4346.372529696301	2311.751913755511	412.7745200372447	Inglés	A2
98575	con	La pelicula fue estrenada en el anho 1994 y fue recibida con mucho exito , crtitica y debate .	6509.751966712713	13041.487703577066	19021.425344465802	21635.843157372958	18110.147263393348	Ruso	C1
88276	a	Jaafar no le gusta comer fuera_de su casa tampoco vas a un cafe . cada dominco va con su mujer para ir compras de el semana .	10649.741130408727	27530.713356696408	43900.09618718063	51737.63514374599	2492.385205214075	Árabe	A2
379582	comido	Las comidas son muy saborosas y he comido carne de canguru , que a mi me encantó .	10422.720136442438	19627.57604117987	25847.79720597394	26732.927041596387	3391.1305655208535	Portugués	A2
328884	yo	yo quiero hago de os novelas rapidemente ;	33583.46046528081	29690.503452217315	20681.09502092541	14089.004691985989	4136.109076709769	Francés	A1
180786	la	Mis compañeros de la misma clase eran muy alegres y trabajaban mucho .	4133.649013969312	8208.200003964523	12057.051063919	13203.894435597216	753.4316505144795	Chino mandarín	A2
170928	?	Te recuerdas ?	37639.80904130917	14956.177136426511	7186.269410028157	4127.121254792071	39089.88390900338	Portugués	B1
132503	el	Me llamo zahra_erroumati , en mi ultimo viajé el 23_de_enero_2011 por el vuelo iberia 5879	47601.15594821877	69435.7382823855	70699.6944583397	59761.45937707992	13706.863727991968	Árabe	B1
307053	y	Ya contacté mi antigua compañía para que vuelvan a sumnistrar me gás y electricidad .	26785.056353852804	36583.30079310756	38143.55274007407	33731.665693571485	5775.936751244929	Portugués	C1
327443	y	Desde mi punto de vista es importante y necesario prohibir fumar en lugares públicos .	4322.475293985076	8147.113410728532	11444.300031141762	13203.364769417049	1820.1574087127442	Ruso	B2
629174	vida	Tenimos también et mismo miro sobre la vida .	9390.479311064035	10584.844589054477	10301.493023271407	8845.999685988492	3101.1650945615224	Francés	A2
