Number	Word	Sentence	PpW2	PpW3	PpW4	PpW5	PpKenlm	Mother tongue	Level
604684	tiempo	El es muy alto , tiene 181 cm . Mi padre le gusta jugar a el futbol cuando tiene tiempo libre .	2570.571388052739	7294.873796898663	12822.29863974712	16410.50316477213	9845.881853084498	Chino mandarín	A1
167124	Hola	¡ Hola !	54378.94567377957	20218.154032649098	9240.033697142479	5114.921216626686	66517.37533844591	Chino mandarín	A1
277388	su	Su padre es americano , pero su madre es de Okinawa .	985.564184421561	2366.850839583204	4547.612348482104	6095.780866331899	5021.18193305561	Chino mandarín	A2
398077	Desde	Desde el mes próximo , voy a estudiar en España .	1350.1301809916188	2766.4848527573668	4346.888161857638	4816.5840410742985	4468.1661925161825	Chino mandarín	A2
106944	de	[...] en mi equipaje había todas las cosas que necesito usar y uno documente muy importante que preparaba por el reiun de Nueva_York .	16709.81458669995	38474.902762360805	54277.295787151364	60405.95490967456	1838.7927209355216	Chino mandarín	B1
323306	y	[...] lo salvó en el mar . El pescado , quedó en el mismo sitio mucho tiempo como despedir se , y después , se salió a el fondo de el mar	1708.5718680367663	6032.926339229351	14975.175406059008	25894.089306091293	1533.2974226387923	Chino mandarín	B1
482369	les	Me dirijo a ustedes para solicitar les su evaluación y aprobación de mi solicitud de el programa de postgrado de lengua y literatura española de su universidad [...]	6242.747327563854	17107.277606285697	31953.094529779584	43373.0759229709	2269.2608492125164	Chino mandarín	B2
428311	espero	Por ello , espero que podría entrar en este programa para avanzar más .	1664.0984200618618	4160.343157168859	7355.974614626542	8835.757534255756	2606.10996479528	Chino mandarín	B2
537681	pasada	que recommendó mi amiga la semana pasada .	12883.821260470286	15390.966215280927	13431.636562816211	10469.4919820212	1015.832637780777	Chino mandarín	C1
501681	mensaje	Y este pelicula me da una mensaje que no regreto si he hecho la cosa encantada	15930.297922056487	40513.11195172813	50198.7259153835	47804.173194956435	1596.277509806014	Chino mandarín	C1
466440	hermanos	A mi me gusta mucho tus dos hermanos y quiero a ver les muy rapido .	9143.035534120789	18455.96353546809	23427.38655035995	23476.947440843905	1379.0392635278754	Francés	A1
267721	que	[...] estoy tan contenta que voy a buscar la a la estacion y despues vamos a comer en un pequeño restaurante que conoces bien donde se puede comer mariscos .	9636.384139316848	24351.448643416337	43125.751793234886	55070.365624259415	414.1953509002326	Francés	A1
482899	ley	[...] que me parecio bien como la ley sobre las 35 horas de trabajo per semana por los trabadojes o la ley que creó la CMU , una protecion social por los mas pobres .	7069.873615353021	21521.44930252347	41042.942952769015	55604.7155411799	2689.4084835546078	Francés	A2
77211	,	Los fines de semana , trabaja benevolamente en une tienda de produjos de el Tier-Mundo .	10303.31328993828	17329.264179842852	19949.118573646705	19866.306702028563	17358.036879948173	Francés	A2
460510	haga	Espero que esta distancia que nos separó no lo haga más , porque valorizo mucho tu amistad y no espero menos de ti hacia mí .	9090.427734156274	27005.420350510987	44083.06112039949	51676.253647209676	1345.3947726779754	Francés	B1
600129	Te	Te escrito para pedir te un favor .	7604.713755654629	11763.024762882349	11168.064899883204	9039.857861645482	3090.179197545703	Francés	B1
482902	ley	Ahora , creo que es mejor que no se pueda fumar en lugares públicos , aunque , cuándo la ley fue votada en Francia , me puse nerviosa .	2741.651935342658	7585.422291176781	16187.718359738486	24820.700242540355	3644.813092702264	Francés	B2
434994	Estoy	Estoy muy trabadora , y motivada .	11171.356199633785	14343.240740300225	11954.272340652313	8957.888150631923	40999.0145744493	Francés	B2
